PET,Times,Weights,FC,TC,STR,THA,WB,CBL,StartTime,Duration
rwrd_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rwrd_1,22.0,0.0,0.001123229100429627,0.0,0.0,0.0,0.004135234644956724,4.783572764436033e-4,17.0,10.0
rwrd_1,32.0,0.0,0.5612034357254392,0.6037313791049838,0.028405502256874486,0.012391085378490586,0.4084479059413621,0.7384461473697007,27.0,10.0
rwrd_1,42.0,0.0,45.33533468829556,50.69404765691474,42.26542847697797,47.62516236010168,45.01339325477215,56.06960467584428,37.0,10.0
rwrd_1,52.0,0.0,81.22952356001205,85.03687683937882,89.20880082484852,90.9616599747711,80.65426455157015,102.38420986124943,47.0,10.0
rwrd_1,62.0,0.91165,103.09736634038121,103.10761478270169,115.288803375084,113.75259067949659,103.81991679919423,130.54730131169612,57.0,10.0
rwrd_1,72.0,0.91163,112.06232650359361,121.74693730165991,133.563840858166,150.7898560776752,114.87633747924829,139.23969468496037,67.0,10.0
rwrd_1,82.0,0.91162,128.4358840188929,116.28922798200256,133.84674068240744,149.88015992515437,119.32057040304878,143.7347583780528,77.0,10.0
rwrd_1,92.0,0.91162,125.87520322644852,123.62363915700196,140.0776469041256,134.97099804909445,122.11709884255156,143.54925115474072,87.0,10.0
rwrd_1,107.0,0.91218,138.69286478050117,133.8490510546711,158.20614438966527,159.46701888848114,131.51149223445532,154.32374168252008,97.0,20.0
rwrd_1,127.0,0.91214,146.46111136942395,139.7583786801427,169.6745068991158,172.19968838657226,138.1936005749138,163.4453627052352,117.0,20.0
rwrd_1,147.0,0.9121,157.78374266220712,146.16498573794271,167.8078182076665,174.63068813324645,143.98588389462702,168.40264841772947,137.0,20.0
rwrd_1,167.0,0.91206,163.93276889667777,154.3668896050273,168.57241392955297,181.93964845301699,148.96652545670784,173.69203166624015,157.0,20.0
rwrd_1,187.0,0.91205,163.9086576766607,155.3230793200538,176.7595432730879,182.10853783436647,150.64108908916762,178.91016935013388,177.0,20.0
rwrd_1,212.0,0.91277,176.83008680416205,160.0455760865651,184.1853569402529,190.1429994022883,156.33853835591185,184.66449051130738,197.0,30.0
rwrd_1,242.0,0.91271,179.0288170627536,165.9614792064976,197.7027822016849,198.6108503829744,160.61072503042996,186.40068566446578,227.0,30.0
rwrd_1,272.0,0.91265,188.02450423931407,169.08121799648217,193.71554043862974,199.1601141372116,163.67494717199153,192.32630926573435,257.0,30.0
rwrd_1,302.0,0.91262,186.4442680833489,169.89171171475607,198.77758404964396,190.45224662695642,165.310907453234,194.34474240605164,287.0,30.0
rwrd_1,347.0,0.91596,192.70968102866027,180.7939288119401,211.1740704155994,208.7090590598993,169.20647600710677,199.5565514903127,317.0,60.0
rwrd_1,407.0,0.91575,195.93657896608985,181.0268597266611,214.79413358368618,210.0117635315838,170.2151167807857,198.4253135119862,377.0,60.0
rwrd_1,467.0,0.91552,195.6300185355641,178.5789641071932,201.61021078467317,208.95608191458655,169.83087704013028,199.74938009860944,437.0,60.0
rwrd_1,527.0,0.91538,194.85077987881508,180.92317966529103,197.4780410560855,217.0987859867058,169.27332104263297,196.4146359519314,497.0,60.0
rwrd_1,647.0,0.94451,191.65293220289098,176.30557484345027,202.13053968385722,212.44336715337536,167.2525734383602,193.46418953870102,557.0,180.0
rwrd_1,827.0,0.94145,184.2181330813638,170.66850838540614,193.43591499494082,202.84098300163507,160.30096996303064,185.97379162326916,737.0,180.0
rwrd_1,1007.0,0.93882,172.71099469155766,163.61768008967704,179.2827764986072,200.46260521911188,153.29076555659827,176.69345483504927,917.0,180.0
rwrd_1,1187.0,0.93655,164.443655139494,154.22130787230284,167.94490895459435,184.83845874401007,145.81602537796238,167.95866442246506,1097.0,180.0
rwrd_1,1457.0,1.0,149.30587650468243,142.25893219582906,153.38214225780484,183.5543315799741,135.37362897699953,153.56512837944183,1277.0,360.0
rwrd_1,1817.0,0.98619,131.96157846145528,126.95355390874772,138.33861710375626,163.5852902196846,121.82515818114386,134.7667799910644,1637.0,360.0
rwrd_1,2177.0,0.9743,117.96400574741068,113.95919617654194,120.74235544927956,149.88627433369868,110.71117959406439,120.53167604125021,1997.0,360.0
rwrd_1,2537.0,0.96409,106.16056386012156,104.76987203347916,110.15976449285166,140.33788338012488,102.15793983712236,110.52216311920807,2357.0,360.0
rwrd_1,2897.0,0.9556,96.43181035835599,96.713298829767,102.92909389469179,130.00586584459256,93.83966231632436,100.41298132290086,2717.0,360.0
rwrd_1,3257.0,0.94824,88.48055841803706,87.08735548219641,94.47652717606127,124.5525861886622,87.59472966061375,91.97977126517213,3077.0,360.0
rwrd_1,3617.0,0.94208,82.4398633065605,83.80640121224855,86.19303154888912,117.51926025398329,82.87792854541763,86.37941038863421,3437.0,360.0
rwrd_1,3977.0,0.93692,74.38994061530366,75.31541127928477,76.50149178271681,110.50060606971601,77.0633450950917,79.94842803355851,3797.0,360.0
rwrd_1,4337.0,0.93253,70.85131925322625,71.97419766090707,75.08864197469318,102.51299823860805,73.38979162732812,72.0995858159679,4157.0,360.0
rwrd_1,4697.0,0.92891,68.60053463592509,72.02215593322762,75.17306072138993,99.1118921762193,70.59136869246504,72.41630856502533,4517.0,360.0
rwrd_1,5057.0,0.92612,63.60103009790763,66.18617451322038,72.75665222972266,90.09170106948228,67.12145137896968,67.4341736250653,4877.0,360.0
rwrd_1,5417.0,0.92354,61.2931611677999,62.93073269148957,63.19731763705859,83.32672684390654,64.27537624109573,65.58850828148843,5237.0,360.0
